artist,title
"""Weird Al"" Yankovic",Canadian Idiot
"""Weird Al"" Yankovic",Men In Brown
"""Weird Al"" Yankovic",Ebay
(G)I-DLE,Queencard
-M-,Je Dis Aime
101 Dalmatians (Disney),Cruella De Vil
10cc,I'm Mandy Fly Me
10cc,Dreadlock Holiday
10cc,Rubber Bullets
10cc,The Things We Do For Love
10cc,Donna
10cc,I'm Not In Love
1910 Fruitgum Company,Simon Says
1927,If I Could
2 States,Locha_E_Ulfat
2 States,Mast Magan
2 Unlimited,No Limit
21 Savage,redrum
220 Kid & Gracey,Don't Need Love
24kGoldn & Iann Dior,Mood
2Pac,Dear Mama
2Pac,Changes
2Pac & Notorious B.I.G.,Runnin' (Dying To Live)
2Pac Feat. Dr. Dre ,California Love
3 Doors Down,Kryptonite
3 Doors Down,Here Without You
3 of Hearts,Christmas Shoes
30 Seconds To Mars,From Yesterday
30 Seconds To Mars,Kings And Queens
30 Seconds To Mars,Rescue Me
30 Seconds To Mars,The Kill
3Oh!3 feat. Katy Perry,Starstrukk
3T,Anything
4 Non Blondes,What's Up
5 Seconds of Summer,Amnesia
5 Seconds of Summer,Good Girls
5 Seconds of Summer,She Looks So Perfect
5 Seconds of Summer,Don't Stop
5 Seconds of Summer,Fly Away
5 Seconds of Summer,Hey Everybody
5 Seconds of Summer,Girls Talk Boys
5 Seconds of Summer,She's Kinda Hot
5 Seconds of Summer,Youngblood
5 Seconds of Summer (Feat. Julia Michaels),Lie to Me
50 Cent,Just A Lil Bit
50 Cent,Candy Shop
50 Cent,In Da Club
50 Cent Feat. Eminem & Adam Levine,My Life
50 Cent Feat. Snoop Dogg and Young Jeezy,Major Distribution
50 Cent feat. Nate Dogg,21 Questions
5ive,Everybody Get Up
5ive,Keep On Movin'
5ive,Let's Dance
5ive,If Ya Getting Down
5ive,We Will Rock You
5ive,When The Lights Go Out
5ive,Got The Feelin'
6LACK Feat. J Cole,Pretty Little Fears
6ix9ine & Nicki Minaj,Trollz
"6ix9ine, Anuel AA",BEBE
7?,??????? ?????
883,Nord Sud Ovest Est
911,A Little Bit More
9ice,Gongo Aso
A Bugs Life,The Time Of Your Life
A Chorus Line (Musical),One
A Chorus Line (Musical),Nothing 
